"Long","Lat"
-73.9213086237,40.6184937935
-73.95050378,40.81903479
-73.9278400597,40.603639232
-73.88771485,40.58348108
-73.9501390964,40.7692082308
-73.8288408146,40.6348255696
-73.9262242802,40.8686145349
-73.9262842946,40.8686148702
-73.92646782,40.86878374
-73.9468166667,40.8425666667
-73.9391122945,40.8578574099
-73.952258,40.770822
-73.9522312903,40.7708978239
-73.9329916667,40.8664805556
-73.9316555556,40.8691638889
-73.9245388889,40.6034916667
-73.9258258884,40.8686894691
-73.9259874915,40.868657115
-73.94685856,40.84974268
-73.8890808853,40.8214710108
-73.9666885883,40.7851952361
-73.9473437051,40.8269168162
-73.9251166667,40.7595883333
-73.911793828,40.600286215
-73.9340027702,40.8648479591
-73.9206166667,40.608275
-73.942014277,40.7390748439
-73.949409,40.767999
-73.9728083333,40.6767366667
-73.925722,40.787182
-73.934084,40.787108
-73.9689111111,40.671475
-73.9331194444,40.866275
-73.952793157,40.8164008895
-73.942995,40.7840216667
-73.8751028851,40.867098542
-73.8753074036,40.8670649724
-73.8770579386,40.8620731821
-73.95343,40.8292716667
-73.8753227425,40.8668798581
-73.9473484364,40.8252100228
-73.8832677808,40.874176221
-73.9112166667,40.8719416667
-73.9116888889,40.8682444444
-73.8464727905,40.8173655625
-74.0068933089,40.7293772512
-74.0066535865,40.7293844177
-74.013487,40.671427
-74.0038444444,40.7535694444
-73.9266371727,40.7966667411
-73.9913333333,40.6752861111
-73.9919444444,40.6757166667
-73.9140654077,40.7936868165
-73.9047166667,40.5967638889
-73.8997888889,40.6018444444
-73.9475079071,40.8200054567
-73.9577783333,40.8110716667
-74.0111611167,40.6347783333
-73.9489589807,40.8163704979
-73.938325,40.7440722222
-73.9245973528,40.86943198
-73.9269960859,40.8680772968
-73.9244962671,40.8695964329
-73.9244531841,40.8694129112
-73.9249927272,40.8693708759
-73.9244012875,40.8694855368
-73.9244780783,40.8695746819
-73.9244823531,40.8695583372
-73.9242737275,40.8696383424
-73.92450824,40.8694998
-73.9241740155,40.8694826804
-73.9244251885,40.8695177688
-73.9244033118,40.869482439
-73.9261255414,40.8686070331
-73.9263360461,40.8677210512
-73.9260970429,40.8686920256
-73.9260430635,40.8686161694
-73.9260861465,40.8686428657
-73.9257752,40.8685205
-73.9488156886,40.8191105957
-73.951534777,40.7436561056
-74.0162281506,40.782405613
-73.919537,40.799005
-73.9484423586,40.8187770797
-73.9484295343,40.8187292191
-73.930736594,40.7090003416
-73.9303528704,40.7090757369
-73.9303215221,40.7089684904
-73.9305065945,40.7087541651
-73.9310205729,40.7100025239
-73.9238440712,40.7191956696
-73.9238869865,40.7192175044
-73.9237712324,40.7202728279
-73.9490277507,40.818219306
-73.9491386433,40.8182149893
-73.94903843,40.81820582
-73.94757792,40.81993304
-73.9810333333,40.7811166667
-73.922158889,40.8737695199
-73.9547595476,40.7398257964
-73.95537919,40.73987915
-73.95525834,40.73980793
-73.9542256203,40.7398388721
-73.9540917613,40.7398631797
-73.9543696214,40.7398195938
-73.9543824457,40.7398419315
-73.9489883825,40.815969495
-74.000749793,40.7384234202
-73.94454,40.73887
-73.9446435124,40.7391059166
-73.9441026282,40.7388709719
-73.9438893926,40.7389562577
-73.9438525961,40.7389582275
-73.9438218345,40.7389550005
-73.9437233471,40.7390860515
-73.9436230157,40.7390313177
-73.9436118678,40.738967699
-73.9434380271,40.7389328722
-73.915675,40.791703
-73.9489492123,40.8181233332
-73.9265727997,40.7537754002
-73.9309072495,40.7608132946
-73.9506752138,40.814630175
-73.92547414,40.8229218
-73.92057,40.799645
-73.9144883333,40.7930633333
-73.9145389014,40.7929456467
-73.9147866704,40.7929383964
-73.9147835691,40.7925028727
-73.880148707,40.8889024286
-73.8809556328,40.8913462563
-73.8759052847,40.8165958152
-73.8797754609,40.818550014
-73.87921591,40.81762859
-73.8795449585,40.8180630673
-73.87607,40.81667
-73.8792883333,40.817755
-73.8761966667,40.8167083333
-73.87815,40.8168716667
-73.9521707129,40.770990341
-73.9522447251,40.7710988867
-73.950682506,40.8145168517
-73.9741356578,40.7782331854
-73.92555824,40.79191775
-73.9912997839,40.675573689
-73.9915364888,40.6755879801
-73.9919727636,40.6756125356
-73.9915833058,40.6751662354
-73.9926788584,40.6758005452
-73.99193473,40.67561456
-73.99167883,40.67562892
-73.9941747439,40.6764635623
-73.8404032309,40.8878250188
